category,Webname,Weburl
,Katherine Partis ,http://www.katherinepartis.co.uk/
,"Kenneth Cole Productions, Inc. ",http://www.kennethcole.com/
,Lilly Pulitzer ,http://www.lillypulitzer.com/
,Litex ,http://www.litex.net/
,Liza Byrd Boutique ,http://lizabyrd.com/
,Lord and Taylor ,http://www.lordandtaylor.com/
,Macadi ,http://www.macadi.de/
,Mango ,http://www.mango.com/
,Marshalls ,http://www.marshallsonline.com/
,Martin's ,http://www.shopmartins.com/
,Maxuce ,http://www.maxuce.com/
,Mishu Boutique ,http://www.mishuboutique.com/
,MyoMy ,http://myomy.fi/
,Net-a-porter.com ,http://www.net-a-porter.com/
,Nigo ,http://nigoltd.co.uk/
,Norm Thompson ,http://normthompson.blair.com/
,Patra Selections ,http://www.patra.com/
,Perry Ellis ,http://www.perryellis.com/
,Ralph Lauren Media LLC ,http://www.ralphlauren.com/
,Reiss ,http://www.reiss.com/
,Revamp Vintage ,http://www.revampvintage.com/
,Ruthies Run ,http://www.ruthiesrun.com/
,Serengeti ,http://www.serengeticatalog.com/
,Shirt Company ,http://www.shirtcompany.com/
,Singer22 ,http://www.singer22.com/
,Smart Turnout ,http://www.smartturnout.com/
,South Moon Under ,http://www.southmoonunder.com/
,Super Casuals ,http://www.supercasuals.com/
,UrbanMinx ,http://www.urbanminx.com/
,Vicious Enterprises ,http://www.viciousenterprises.com/
,Winnipeg Outfitters ,http://www.outfitters.ca/
,Yoox ,http://www.yoox.com/
,Yves Saint Laurent ,http://www.ysl.com/
,International Union of Psychological Science: IUPsyS ,http://www.iupsys.net/
,ERIC Digests on Libraries ,http://www.ericdigests.org/libraries.html
,Institute of Museum and Library Services ,http://www.imls.gov/
,"Libraries, Information and Society ",http://groups.yahoo.com/group/lib-info-society/
,Library Link of the Day ,http://www.tk421.net/librarylink/
,St. Jerome (331-420 A.D.) ,http://www.catholic.org/saints/saint.php?saint_id=10
,Wikipedia - Libraries ,http://en.wikipedia.org/wiki/Library
,You Are Not Alone (Maybe) ,http://www.ipl.org/div/farq/
,ABMaps ,http://www.abmaps.com/
,Atlapedia Online ,http://www.atlapedia.com/
,Bing Maps ,http://www.bing.com/maps/
,CIA World Factbook - Reference Maps ,https://www.cia.gov/library/publications/the-world-factbook/docs/refmaps.html
,Expedia Maps ,http://maps.expedia.com/
,Fallingrain Global Gazetteer ,http://www.fallingrain.com/world/
,Flash Earth ,http://www.flashearth.com/
,Great Circle Mapper ,http://www.gcmap.com/
,MapJack.com ,http://www.mapjack.com/
,MapQuest ,http://www.mapquest.com/
,Maps of World ,http://www.mapsofworld.com/
,Multimap ,http://www.multimap.com/
,National Atlas of the United States ,http://nationalmap.gov/
,National Geographic Map Central ,http://maps.nationalgeographic.com/map-machine
,Planet Observer ,http://www.maps4free.com/
,Readmap Project ,http://www.readmap.com/
,TerraFly ,http://www.terrafly.com/
,TRF Policy Map ,http://www.policymap.com/
,United Nations: Cartographic Section ,http://www.un.org/Depts/Cartographic/english/htmain.htm
,United States Library of Congress Map Collections ,http://memory.loc.gov/ammem/gmdhtml/
,World Atlas ,http://reference.aol.com/atlas
,Worldmapper ,http://www.worldmapper.org/
,Canned Food Alliance ,http://www.mealtime.org/
,Chef Talk ,http://www.cheftalk.com/
,A Chefs Help ,http://www.chefs-help.co.uk/
,The Cooking Inn ,http://www.thecookinginn.com/
,CookingIndex.com ,http://www.cookingindex.com/
,CooksRecipes.com ,http://www.cooksrecipes.com/
,Culinary.net ,http://www.culinary.net/
,Doctor Gourmet ,http://www.drgourmet.com/
,The Food Channel ,http://www.foodchannel.com/
,Foodgeeks.com ,http://foodgeeks.com/recipes/
,Good Cooking ,http://www.goodcooking.com/
,Hannaford Supermarkets ,http://www.hannaford.com/Contents/All_About_Food/Recipes/index.shtml
,Home and Family: Food & Nutrition ,http://www.homefamily.net/category/food-nutrition/
,KitchenDaily ,http://www.kitchendaily.com/
,The Love Chef ,http://www.thelovechef.com/
,Mimi's Cyber Kitchen ,http://www.cyber-kitchen.com/
,Ochef.com ,http://www.ochef.com/
